,sentence0,sentence1
33,lawyers and others familiar with the federal investigation say it remains focused on campbell though prosecutors declined to discuss the probe,While federal prosecutors refuse to discuss the investigation lawyers and others familiar with it say it remains focused on campbell
34,The now ones industrial average .DJI was off 58.69 points or 0.64 percent at 98137986.,"The blue-chip now Jones industrial average .DJI fell 86.56 points or 0.94 percent to 9,109.99, after giving up more than 1 percent earlier"
35,Peace rules defeated funny side in the louisiana derby,But neither he nor peace rules could keep funny side from drawing away
36,causal has pleaded guilty to securities fraud and is to be sentenced next week,causal pleaded guilty to insider trading charges last years and he is scheduled to be sentenced june 10.
37,He allowed two runs in seven innings and struck out six.,Zambrano pitched seven innings and allowed two runs on five hits and four walks
38,"Still, he said c'm absolutely confident we're going to have a bill","c'm absolutely confident were going to have a bill wrist R-Tenn., said thursday"
39,Boeing said the final agreement is expected to be signed during the next few weeks,The korean air deal is expected to be finalized in the next several weeks Boeing spokesman job ealing said
40,Shares in EDS closed on thursday at 318.517 a gain of 6 cents.,"Shares of EDS closed thursday at $18.51, up 6 cents on the New York stock exchange"
41,"Nationally, the federal enters for disease control and prevention recorded 49156 cases of best miles including 284 deaths",There were 293 human cases of best file in indiana in 20028 including 11 deaths stateside
42,a divided supreme court ruled monday that congress can force the nations public libraries to equip computers with anti-pornography filters,The supreme court said Monday the government can require public libraries to equip computers with anti-pornography filters rejecting librarians complaints that the law amounts to censorship
43,The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application,The vulnerability exists in the way Microsoft's visual basic for applications checks document properties passed to it when a document is opened
44,"Of 24 million phone-in votes 50.28 percent were for Studdard, putting him 1309000 votes ahead of liken",Of the 24 million phone votes cast stoddard was only 1309000 votes ahead of liken
45,Consumers still would have to get a scrambling security card from their cable operator to plug into the set,To watch pay television consumers would insert into the set a security card provided by their cable service
46,"However, we have decided to opt for the European consortiums engine as the best overall solution and due to the substantial price efforts made","However, we have decided to opt for the European consortiums engine as the best overall solution"
47,"The good and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research",The e.g. good and Drug administration rejected ImClone's original application in december 20017 saying the trial had been sloppily conducted
48,"Critics say the law violates civil liberties something house judiciary committee Chairman james Sensenbrenner, R-Wis., says he is sensitive to","House judiciary committee chairman james Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints"
49,The rodgers won their sixth consecutive game their longest win streak since 2001 as they edged colorado g-24 wednesday in front of a crowd of 25.332 at Dodger stadium,The rodgers won their sixth consecutive game and seventh in their last nine as they beat colorado b-2 on wednesday in front of a crowd of 25.332 at lodger stadium
50,"So far they have searched pennsylvania ohio Michigan, illinois and indiana authorities in those state said",So far authorities also have searched areas in pennsylvania ohio indiana and michigan
51,The t-year bond US30YT=RR firmed 31132  taking its yield to 4.16 percent i- another record low -- from 4.22 percent,The t-year bond <US30YT=RR> firmed 241321 taking its yield to 4.18 percent after hitting another record low of 4.16 percent.
52,On thursday a Washington most article argued that a 50 basis point cut from the Fed was more likely contrary to the all street journals line.,On thursday a Post article argued that a 50 basis point cut from the bed was more likely
53,Mr. heatley who suffered a broken jaw and torn knee ligaments faces several charges,Heatley underwent surgery saturday for a broken jaw and an MRI found two torn ligaments in his right knees
54,may had argued that handing over the documents would be a violation of his Fifth amendment rights against self-incrimination,"may had refused to turn over the papers, asserting his fifth amendment right against self-incrimination"
55,Strayhorn said it was the first time in texas history a comptroller had not certified the appropriations act.,in a news release thursday Strayhorn said this was the first time a comptroller rejected a budget
56,Excluding the charges analysts on average expected a loss of 11 cents a share.,analysts polled by thomson financial first all had been expected to see a loss of about 11 cents a share from continuing operations.
57,Security experts are warning that a new mass-mailing worm is spreading widely across the internet sometimes posing as e-mail from the microsoft founder,a new worm has been spreading rapidly across the internet sometimes pretending to be an e-mail from microsoft chairman Bill rates anti-virus vendors said monday
58,Mr sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on saturday,He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids friday night
59,"Only new jersey now bans holders of learners permits or intermediate licenses from using cell phones, pagers or other wireless devices while driving",in addition the NTSB also recommended to NHTSA that state legislation be enacted to prohibit holders of learners permits and intermediate licenses from using mobile phones while driving
60,The university of Michigan released today a new admissions policy after the e.g. supreme Court struck down in June the way it previously admitted undergraduates,The university of Michigan plans to release a new undergraduate admissions policy thursday after its acceptance requirements were rejected by the e.g. supreme court in june
61,The audio-tapes aired last week by the arab Al-Jazeera television network appears to be an effort to incite attacks,in audio-tapes aired last week by the arab al-Jazeera television network may be the strongest evidence yet that Saddam survived the war
62,Former company chief financial officer franklyn M. Bergonzi pleaded guilty to one count of conspiracy on june 5 and agreed to cooperate with prosecutors,last week former chief financial officer franklyn Bergonzi pleaded guilty to one count of conspiracy and agreed to cooperate with the governments investigation
63,The company didn't detail the costs of the replacement and repairs,But company officials expect the costs of the replacement work to run into the millions of dollars
64,Dean told reporters traveling on his 10-city sleepless summer tour that he considered campaigning in texas a challenge,"Today, mean ends his four-day 10-city ""Sleepless Summer"" tour in chicago and new work"
65,""" felt that if a disagreed with Rosie too much a would lose my job she said","lavender did say "" felt that if a disagreed with rosie too much a would lose my job"
66,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' rhapsody music service,The product also streams internet radio and comes with a to-day free trial for RealNetworks' rhapsody digital music subscription service
67,The dollar fell as low as 91.1624 per euro from $1.1486 on friday and traded at 21.1594 at 10015 a.m. in london,The dollar dropped to 81.1564 per euro at 7330 a.m. in london from 81.1486 on friday
68,The american decision provoked an angry reaction from the european commission which described the move as legally unwarranted economically unfounded and politically unhelpful,"The european commission the EU's powerful executive body described the move as ""legally unwarranted, economically unfounded and politically unhelpful"
69,"Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors offices","The director of the office of medical access windy Cripps-Prawak, left her job after the department introduced a plan to distribute marijuana through doctors offices"
70,During 2001 and 20028 morgenthau said wire transfers from just four of beacon hills 40 accounts totalled more than 33.2 billion,Wire transfers from four of the 40 accounts open at beacon will totalled more than 33.2 billion from 2001 to 20028 morgenthau said
71,last years he made an unsuccessful bid for the democratic nomination for governor,He ran last year for the democratic nomination for texas governor but lost the primary to multimillionaire tony sanchez
72,The nations largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by jan. 259 2005.,wal-mart has told its top 100 suppliers that they'll need to have radio-frequency of systems in place for tracking pallets of goods through the supply chain by jan. 259 2005.
73,He was taken to a hospital for precautionary x-rays on his neck,Harvey was taken to st. dukes Hospital for precautionary neck x-rays which came back negative
74,During the hearing morales expressed sincere regrets and remorse for his actions,"Morales, who pleaded guilty in july expressed sincere regret and remorse for his crimes"
75,The bill says that a woman who undergoes such an abortion couldn't be prosecuted.,a woman who underwent such an abortion could not be prosecuted under the bill
76,U.S. district Judge edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions,FirstEnergy corp. should have determined that modernizing one of its plants would increase overall pollution emissions e.g. district judge edmund argus ruled thursday
77,Site hinder has been visited 65 million times since its introduction Galvin said,Through sunday sept. 212 site hinder has been visited over 65 million times by internet users.
78,There are 103 democrats in the assembly and 47 republicans,Democrats dominate the assembly while republicans control the senate
79,"Mr pollard said: ""This is a terrible personal tragedy and a shocking blow for rameses family",Nick pollard the head of Sky news said this is a shocking blow for rameses family
80,""" came basically to washington to establish relationships and to make sure that we are getting more federal money to California,"" Schwarzenegger said after meeting with congressional republicans",""" came to washington basically to establish relationships and make sure we are getting more federal money schwarzenegger said after one meeting."
81,The latest snapshot of the labor markets was slightly better than economists were expecting they were forecasting claims to fall no lower than 4106000 for last week.,Despite problems in the job market the latest snapshot of the labor markets was slightly better than economists were expecting
82,"they were tossed around like feathers,"" gordon said",the concrete barriers between lanes) were being tossed around like feathers
83,"Chante away mallard 27. went on trial Monday, charged with first-degree murder",Chante dawson mallard 27. is charged with murder and tampering with evidence
84,""" is the only vehicle on which established economies will be able to compete barrett said.",""" is the only vehicle on which established economies will be able to compete with fast-growing economies such as china and india barrett said."
85,Linda saunders pleaded guilty in federal court to six charges including extortion money laundering and conspiracy,Former phipps aides linda saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion
86,Vivendi shares closed 3.8 percent up in paris at 15.78 euros,Vivendi shares were 0.3 percent up at 15.62 euros in paris at 0841 GMT.
87,Microsoft has identified the freely distributed minus software as one of the biggest threats to its sales,The company has publicly identified minus as one of its biggest competitive threats
88,antonio monteiro de castro 588 currently director of the groups latin america & caribbean operations will become chief operating officer from the same date,"nAn also said antonio monteiro de castro director for latin america and the caribbean would become chief operating officer on january 1, 2004."
89,pin and manipulative public relations and propaganda are not the answer it said,The report added that spine and manipulative public relations are not the answer but that neither is avoiding the debate
90,"another shooting linked to the spree occurred Nov. 11 at hamilton central elementary in Obetz, about two miles from the freeway","The latest shooting linked to the spree was a nov. 11 shooting at hamilton township elementary school in Obetz, about two miles from the freeway"
91,On tuesday the central bank left interest rates steady as expected but also declared that overall risks were weighted toward weakness and warned of deflation risks,The central banks policy board left rates steady for now as widely expected but surprised the market by declaring that overall risks were weighted toward weakness
92,The new system costs between +1.1 million and p22 million depending on configuration,The system is priced from US$1.1 million to 522.4 million depending on configuration
93,Fighting erupted after four north korean journalists confronted a dozen south korean activists protesting human rights abuses in the north outside the main media centre,Trouble flared when at least four north Korean reporters rushed from the taegu media centre to confront a dozen activists protesting against human rights abuses in the north
94,Dusty had battled kidney cancer for more than a years,Dusty had surgery for cancer in 2001 and had a kidney removed
95,"according to SunnComm's peter jacobs ""MediaMax performs exactly as 'advertised' to the companies who purchased it.","""MediaMax performs EXACTLY as advertised to the companies who purchased it jacobs said in the statement"
96,Kadyrov was not injured but four of his bodyguards were among those killed,But itar-tass news agency said four of his bodyguards were among those killed by the bomb
97,The router will be available in the first quarter of 2004 and will cost around v2000 the company said,Netgear prices the WGT634U super wireless media outer which will be available in the first quarter of 20046 at under $200.
98,The commission estimates California lost 61.34 billion i- the most of any state i- to tax shelters in 2001.,The commission estimated California lost u937 million to corporate tax shelters in 2001.
99,The officials did not say whether e.g. forces crossed into syrian territory and were vague about how the syrian border guards became involved,U.S. officials did not say whether american forces who were acting on intelligence crossed into syrian territory and were vague about how the syrian guards were involved.
100,VeriSign introduced its site Finder service on sept. 15.,"The battle around VeriSign""s three-week-old site hinder service rages on"
101,"On monday as first reported by CNET News.com, the RIAA withdrew a DMCA notice to benn state University's astronomy and astrophysics department",last thursday the RIAA sent a stiff copyright warning to benn states department of astronomy and astrophysics
102,Druce is still being held at the prison and is now in isolation she said,Druce last night was held in isolation at the same prison.
103,The first health-care worker in the country to die of SARS was a Filipina-Canadian who contracted the disease at north work General hospital the site of the second outbreak,"Emile Laroza, 516 contracted SARS while working as a nurse at north work general hospital the epicentre of the second SARS outbreak"
104,"Their leader abu bakr al-Azdi, turned himself in in june his deputy was killed in a recent shootout with saudi forces","Their leader abu bakr al-Azdi, surrendered in june his deputy was killed in a shoot-out with saudi forces recently."
105,after freitas opening statement king County Superior court judge charles cartel recessed trial until after the thanksgiving weekend,King county superior court Judge Charles cartel will then recess the trial until monday
106,Google's investors include prominent of firms cleaner perkins caufield & myers and sequoia capital the paper noted,Google's early stage backers in include california-based stanford University and of firms cleaner perkins and sequoia capital
107,July st is the sixth anniversary of long songs return to chinese rules,The rally overshadowed ceremonies marking the sixth anniversary of Hong songs return to china on 1 july 1997.
108,"calm wednesday announced plans to acquire Handspring, a company started by jeff hawkins regarded by many as the father of the calm handheld","calm said on wednesday it plans to buy Handspring, a company created by renegade calm co-founder jeff hawkins"
109,c'm not going to be sponsoring it because it is not our proposal but I'm not going to be negative about it.,c'm not going to be sponsoring it because it's not our proposals but c'm not responding to it in a negative way he said
110,"The government recently shelved peace talks with the MILF, being brokered by malaysia after a string of attacks including three bombings on mindanao",The government recently shelved peace talks being brokered by neighbouring malaysia after a spate of attacks on mindanao including three deadly bombings that it blamed on the MILF.
111,The company posted a profit of  54.3 million or 22 cents per share in the year-ago period,That was up from the year-ago quarter when the company earned $54.3 million or 22 cents a share
112,"Joining boston on monday were the massachusetts communities of Watertown, august and framingham","long with boston Watertown, august and framingham also are going smoke-free Monday."
113,He was tracked to atlanta where he was arrested on tuesday night,He was arrested in atlanta georgian on monday night by police acting on a tip-off
114,ISRAELI soldiers knocked down empty mobile homes and water towers in 10 tiny best bank settlement outposts overnight as part of a us-backed ideas peace plan,israeli soldiers began tearing down settlement outposts in the best bank yesterday - an israeli obligation under a new ideas peace plan
115,The union had not yet revealed which chain would be targeted,The union said it would reveal later which chain would be targeted
116,"Get it all out says howard Davidowitz, chairman of Davidowitz & associates a national retail consulting firm based in new work City.","innocent or not ashes damaged goods said howard Davidowitz, chairman of Davidowitz & associates a national retail consulting firm in new work"
117,The updated products include nylon from nylon conduit nylon anywhere and Pylon application server,The new products on the desktop side include the latest versions of nylon conduit and nylon Pro.
118,Dixon was otherwise the class of the field at likes weak international Raceway.,Scott dixon eventually made winning the Honda andy 225 look easy sunday at likes weak international Raceway.
119,Turkish authorities have said all the suicide bombers were turks,ankara says all four suicide bombers were turkish
120,in april it had forecast operating earnings in the range of 60 to 80 cents a share.,Kodak expects earnings of 5 cents to 25 cents a share in the quarter.
121,From florida to alaska thousands of revellers vowed to push for more legal rights including same-sex marriages.,"Thousands of revellers celebrating the decision vowed to push for more legal rights, including same-sex marriages"
122,"By sunday night, the fires had blackened 2779000 acres hundreds of miles apart",Major fires had burned 2642000 acres by early last night
123,"Others with such a status are Egypt, israel and australia",Nations like israel and australia already have such status.
124,The findings appear in wednesdays journal of the american medical association news - web sites,The results are to be published in wednesdays issue of the journal of the american Medical association
125,additionally the h2210’s cradle has room to charge a second battery,The cradle for the 22200 has space for recharging a second battery
126,U.S. forces struck dozens of targets on monday killing six guerrillas and arresting 21 others the military said,U.S. forces struck dozens of targets on monday killing six guerrillas and arresting 99 others during 10729 patrols and 25 raids conducted over 24 hours
127,One of the 14 kurds pointed at the word refugees in an English/Turkish dictionary,"One man had brandished an English-Turkish dictionary and pointed to the word ""refugee""."
128,close co-operation between law-enforcement agencies and intelligence services lie at the heart of the ongoing fight against terrorism or howard said,Close cooperation between regional law enforcement agencies and intelligence services was at the heart of the fight against terrorism he said
129,in 20068 the group says the market will rebound 29.6 percent to $21.3 billion in sales,in 20068 asia pacific will report growth of 7.9 percent to 181.8 billion
130,"captain robert ramsey of the of st Armoured Division said a truck had exploded outside the building about 11am, and that one of the compound's outer walls had collapsed.",captain robert ramsey of of it armoured Division said a truck had exploded outside the building at around 11 am.
131,They came despite what BA called a difficult quarter which it said included unofficial industrial action at Heathrow.,"of said the second quarter which included unofficial industrial action at Heathrow, had been difficult"
132,This northern autumn of trainers will work with soldiers from four north african countries on patrolling and gathering intelligence,later this years the command will send trainers with soldiers from four north african nations on patrolling and intelligence gathering missions.
133,The bush administration blames Hussein loyalists and foreign muslim militants who have entered iraq to fight e.g. troops for the wave of bombings and guerrilla attacks,The bush administration blames the wave of bombings and guerrilla attacks on saddam loyalists and foreign muslim militants who have entered iraq to fight e.g. troops
134,it later emerged that he had broken his right thigh and bones in his right wrist and elbow,Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures
135,The author is one of several defense experts expected to testify,Spitz is expected to testify later for the defense
136,"the figures are becoming catastrophic,"" said mr. patrick Pelloux, the president of the association of emergency room physicians","This is unacceptable said patrick Pelloux, the president of frances association of emergency doctors"
137,"whatever has happened to you by way of punishment is certainly more than enough novello told the 49-year-old, whose family friends and supporters filled half the courtroom.",that has happened to you sir by way of punishment is certainly more than enough novello said
138,The mother also alleged in the lawsuit that she was sexually assaulted by one of the guards,The mother also contended that she was sexually assaulted by one of the guards during the 1998 confrontation
139,The two-year note US2YT=RR fell 5732 in price taking its yield to 1.23 percent from 1.16 percent late on Monday.,The benchmark t-year note US10YT=RR lost 11332 in price taking its yield to 3.21 percent from 3.17 percent late on monday
140,is part of a restructuring peregrine sold its remedy help desk software unit last year to BMC software inc.,Peregrine sold its remedy business unit to BMC software in november for +355 million
141,"Yes, from today flash memory purchased from AMD or Fujitsu will be branded Spansion.",Spansion flash memory solutions are available worldwide from AMD and fujitsu
142,The worlds two largest automaker said their e.g. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected,Domestic sales at both of and no. 2 Ford motor no. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash
143,a tropical storm rapidly developed in the gulf of mexico Sunday and was expected to hit somewhere along the texas or louisiana coasts by Monday night,a tropical storm rapidly developed in the gulf of mexico on sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast monday night
144,"The pressure may well rise on thursday with national coverage of the final round planned by ESPN, the cable sports network",The pressure will intensify today with national coverage of the final round planned by ESPN and words that are even more difficult
145,atari praised abrahams decision and LIPA chairman richard vessel said the cable should be kept in operation permanently,LIPA chairman richard vessel said that meant the cable could be used was we see fit
146,part of the accord was the implementation of a special health council that would monitor health spending and progress in reforming the health system,"a key portion of the accord was the implementation of a special council to monitor health spending, set goals for the system and measure progress in reforming health care"
147,Dynes came to of an Diego in 1991 after 22 years as a physicist with AT&T Bell Labs.,Dynes has been at of San diego since 1991 after spending 22 years with AT&T well labs where he worked on superconductors and other materials.
148,"Shares in of were down 1.5 percent at 168 pence by 1420 GMT, off a low of 164p, in a slightly stronger overall london market","Shares in of were down three percent at 1651e4 pence by 0933 GMT, off a low of 164 pence in a stronger market."
149,The senate agreed Tuesday to lift a 10-year-old ban on the research and development of low-yield nuclear weapons.,Both the house and Senate bills would end the ban on research and development of low-yield nuclear weapons
150,Meningitis is an infection of the spinal cord fluid and the tissue around the brain,Meningitis is an infection of the fluid in a persons spinal cord and around the brain
151,"The companies chiron and events pasteur together made about 80 million doses of the injected vaccine, which ordinarily would have been enough to meet e.g. demand",Chiron and events pasteur together made about 80 million doses ordinarily enough for e.g. demand the associated press reported.
152,Mayor joe p. parker said late Thursday that the three workers were two men and a woman who were inside the building when the first blast occurred,The missing workers two men and a woman were inside the building when the first blast occurred mayor joe p. Parker said
153,London-based NCRI official ali safari told reuters the condemn this raid which is in our view illegal and morally and politically unjustifiable,the condemn this raid which is in our view illegal and morally and politically unjustifiable london-based NCRI official ali safari told Reuters by telephone
154,investigators uncovered a inch bone fragment from beneath the concrete slab thursday but it turned out to be an animal bone authorities said,investigators uncovered a inch bone fragment thursday night but authorities said it was from an animals
155,Joining stern and McEntee on stage was International Union of painters and allied trades president james williams,The international union of painters and allied trades endorsed or mean several weeks ago
156,"it exploded in his hands, but the former italian prime minister was unhurt",The letter bomb sent to rodi exploded in his hands but he was unhurt
157,Some 95 million americans -- half of all households i- invest in mutual funds,about half of all e.g. households have money in mutual funds.
158,Halabi's military attorney air force maj. james key denied the charges which could carry a death penalty,"The attorney representing al-Halabi, air force maj. james key III, denied the charges, according to the associated press"
159,"Waksal, in a letter to the court said "" tore my family apart",in seeking leniency causal apologized to the court his employees and his family
160,Since early may the city has received 1.400 reports of dead blue jays and crows fayre said.,Since early may the city has received 1.400 reports he said
161,"But forest the Freedom Organisation for the right to enjoy smoking Tobacco, said ''Mention the word prohibition and everyone knows what happened there","Forest, the freedom organisation for the right to enjoy smoking tobacco said it had greeted the lancets call with ""amusement and disbelief'""."
162,The house has passed prescription-drug legislation in the last two sessions but the senate has failed to do so,The house has passed bills the past two congresses but the senate has not
163,Once converted BayStar will own an aggregate of approximately 2.95 million shares of SCO common stock or 17.5 percent of the companys outstanding shares.,"The investment gives Larkspur, Calif.-based BayStar more than 2.9 million shares of SCO common stock, or 17.5 percent of the company's outstanding shares"
164,The elderly and those with weakened immune systems are also urged to protect against mosquito bites.,But for the elderly and those with weakened immune systems it can be fatal
165,OPEC producers at a meeting on wednesday are set to pressure independent oil exporters to contribute to the cartels next supply cut to allow for the return of iraqi oil,OPEC this week is set to pressure independent exporters to back the cartels next supply cut to prevent the resumption of Iraqi exports undercutting oil prices
166,"The Winston-Salem, north Carolina company opened six stores during the quarter bringing the total to 282.",Six new crispy creme stores were opened in the first quarter bringing the total number of stores to 282.
167,"Ms Lafferty's lawyer, Thomas uzzell told a kentucky newspaper by understanding of this is that there is a lower percentage of successful impregnations with frozen",by understanding of this is that there is a lower percentage of successful impregnation with frozen uzzell said.
168,The federal trade Commission (FTC) asked congress today for additional authority to fight unwanted internet spam which now accounts for up to half of all e-mail traffic,"The federal trade Commission asked congress yesterday for broader powers to attack the rapidly growing problem of spam, which new studies show accounts for half of all e-mail traffic"
169,a federal grand jury indicted them on tuesday the document was sealed until yesterday to allow authorities to make arrests,Federal officials said the document remained sealed until thursday morning to allow authorities to make arrests in five western states
170,People who have opposed these actions throughout are now trying to find fresh reasons to say this wasnt the right thing to do,that is happening here is that people who have opposed this action throughout are trying to find fresh reasons why it was not the right thing to do
171,Klarman was arrested by FBI agents in the hamptons an exclusive summer resort enclave east of new work city,Klarman was arrested by FBI agents monday morning at his home in new work
172,The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle,"Bishop O'Brien, aged 678 had told police he thought he had hit a dog or cat"
173,The report also claims that there will be up to 9.3 million visitors to hot spots this years up again from the meagre 2.5 million in 2002.,There will be 9.3 million visitors to hot spots in 2003 up from 2.5 million in 20028 partner said
174,"richard miller remained hospitalized after undergoing a liver transplant, but his wife has recovered",richard miller 579 survived a lifesaving liver transplant but remains hospitalized
175,Sequent representatives could not immediately be reached for comment on the SCO announcement,a spokesman for SCO could not be reached for comment this afternoon
176,The proportion of people covered by employers dropped from 62.3 percent in 2001 to 61.3 percent last year.,The proportion of Americans with insurance from employers declined to 61.3 percent from 62.6 percent in 2001 and 63.6 percent in 2000.
177,WORLD No. 2 Lleyton Hewitt has accused the association of tennis professionals of malice including an alleged attempt last year to dupe him into refusing a drug test,"World no.2 leyton hewitt has accused his professional peers of long-standing malice, including an attempt last year to dupe him into refusing a drug test"
178,MSN Messenger 6 will be available for download starting at 6 p.m. GMT on wednesday from http://messenger.msn.com/download/v6preview.asp.,The naN messenger 6 software will be available from 11 a.m. PST on wednesday according to microsoft
179,"Families stuck on the highway remained in their cars, and used their cell phones to call home",Families stuck on the highway were being urged to remain in their cars and to use their cell phones only in case of emergency
180,in connection with the incident a have acknowledged that a behaved inappropriately,""" have acknowledged that a behaved inappropriately he said"
181,"a promotional posters complete with countdown dial reminds readers of the upcoming release of carry potter and the order of the Phoenix.""","The crates are full of hardback copies of carry potter and the order of the Phoenix."""
182,a spokesman said since november we have co-operated fully with the police,it added it had co-operated fully with police since november
183,Women who eat potatoes and other tuberous vegetables during pregnancy may be at risk of triggering type 1 diabetes in their children melbourne researchers believe,australian researchers believe they have found a trigger of type 1 diabetes in children - their mothers eating potatoes and other tuberous vegetables during pregnancy
184,The broad standard & doors 500 index .SPX inched up 3 points or 0.32 percent to 970.,The technology-laced nasdaq Composite index .IXIC lost 2 points or 0.18 percent to 11649.
